YEAR,STATENAME,tax_property_hh,tax_property_business,tax_consumption_hh,tax_consumption_business,tax_income_total,tax_property_total,tax_consumption_total,state_population,tax_property_hh_pc,tax_property_business_pc,tax_consumption_hh_pc,tax_consumption_business_pc,tax_income_total_pc,tax_property_total_pc,tax_consumption_total_pc
2006,Kansas,867231000,2400000000,1935980000,1700000000,2402085000,3267231000,3635980000,2762931,314,869,701,615,869,1183,1316
2006,Kentucky,935367000,1500000000,1737816000,2100000000,3921908000,2435367000,3837816000,4219239,222,356,412,498,930,577,910
2006,Louisiana,269740000,2200000000,2626147000,5000000000,2501120000,2469740000,7626147000,4302665,63,511,610,1162,581,574,1772
2006,Maine,611708000,1400000000,866225000,600000000,1368927000,2011708000,1466225000,1323619,462,1058,654,453,1034,1520,1108
2006,Maryland,2461742000,3500000000,2126297000,2800000000,9847319000,5961742000,4926297000,5627367,437,622,378,498,1750,1059,875
2006,Massachusetts,4912163000,5900000000,2710361000,2500000000,10483437000,10812163000,5210361000,6410084,766,920,423,390,1635,1687,813
2006,Michigan,6456170000,7100000000,6838957000,3700000000,6698913000,13556170000,10538957000,10036081,643,707,681,369,667,1351,1050
2006,Minnesota,820204000,4500000000,2553115000,3200000000,6862953000,5320204000,5753115000,5163555,159,871,494,620,1329,1030,1114
2006,Mississippi,376719000,1700000000,2140285000,1500000000,1254733000,2076719000,3640285000,2904978,130,585,737,516,432,715,1253
2006,Missouri,2331131000,2600000000,2957232000,3200000000,4821082000,4931131000,6157232000,5842704,399,445,506,548,825,844,1054
2006,Montana,357609000,700000000,148332000,200000000,768911000,1057609000,348332000,952692,375,735,156,210,807,1110,366
2006,Nebraska,697262000,1500000000,906966000,1200000000,1545024000,2197262000,2106966000,1772693,393,846,512,677,872,1240,1189
2006,Nevada,1009147000,1500000000,2000564000,2100000000,0,2509147000,4100564000,2522658,400,595,793,832,0,995,1625
2006,New Hampshire,1380250000,1400000000,61343000,300000000,80931000,2780250000,361343000,1308389,1055,1070,47,229,62,2125,276
2006,New Jersey,13049427000,7500000000,4516893000,4700000000,10506565000,20549427000,9216893000,8661679,1507,866,521,543,1213,2372,1064
2006,New Mexico,354082000,600000000,1460310000,1400000000,1123954000,954082000,2860310000,1962137,180,306,744,714,573,486,1458
2006,New York,16441335000,20000000000,9753657000,15400000000,38611920000,36441335000,25153657000,19104631,861,1047,511,806,2021,1907,1317
2006,North Carolina,3285360000,3700000000,5617370000,4200000000,9467278000,6985360000,9817370000,8917270,368,415,630,471,1062,783,1101
2006,North Dakota,134291000,500000000,316242000,400000000,275630000,634291000,716242000,649422,207,770,487,616,424,977,1103
2006,Ohio,5115471000,7500000000,7721989000,5500000000,13529560000,12615471000,13221989000,11481213,446,653,673,479,1178,1099,1152
2006,Oklahoma,595801000,1200000000,1837097000,2200000000,2755776000,1795801000,4037097000,3594090,166,334,511,612,767,500,1123
2006,Oregon,1754685000,2000000000,506576000,400000000,5537385000,3754685000,906576000,3670883,478,545,138,109,1508,1023,247
2006,Pennsylvania,7025637000,7200000000,6953754000,6200000000,12326355000,14225637000,13153754000,12510809,562,576,556,496,985,1137,1051
2006,Rhode Island,887857000,1000000000,520571000,700000000,1019482000,1887857000,1220571000,1063096,835,941,490,658,959,1776,1148
2006,South Carolina,1182966000,2800000000,2384974000,1700000000,2727251000,3982966000,4084974000,4357847,271,643,547,390,626,914,937
2006,South Dakota,64495000,700000000,489728000,600000000,0,764495000,1089728000,783033,82,894,625,766,0,976,1392
2006,Tennessee,1028756000,3100000000,5760525000,3700000000,192764000,4128756000,9460525000,6088766,169,509,946,608,32,678,1554
2006,Texas,10226070000,22200000000,10499185000,18200000000,0,32426070000,28699185000,23359580,438,950,449,779,0,1388,1229
2006,Utah,867714000,1000000000,1807678000,1200000000,2277478000,1867714000,3007678000,2525507,344,396,716,475,902,740,1191
2006,Vermont,348488000,800000000,195319000,300000000,542012000,1148488000,495319000,622892,559,1284,314,482,870,1844,795
2006,Virginia,4933053000,4300000000,2910232000,3600000000,9073077000,9233053000,6510232000,7673725,643,560,379,469,1182,1203,848
2006,Washington,3478007000,3400000000,5877915000,8600000000,0,6878007000,14477915000,6370753,546,534,923,1350,0,1080,2273
2006,West Virginia,59055000,1000000000,856568000,900000000,1297720000,1059055000,1756568000,1827912,32,547,469,492,710,579,961
2006,Wisconsin,3716716000,4300000000,3464587000,2600000000,5906515000,8016716000,6064587000,5577655,666,771,621,466,1059,1437,1087
2006,Wyoming,185560000,800000000,421058000,500000000,0,985560000,921058000,522667,355,1531,806,957,0,1886,1762
2006,United States Total,159658999000,204900000000,178966196000,189700000000,268667132000,364558999000,368666196000,298379912,535,687,600,636,900,1222,1236
2010,Alabama,770648000,1800000000,3019407000,2800000000,2724059000,2570648000,5819407000,4785298,161,376,631,585,569,537,1216
2010,Alaska,475689000,800000000,413627000,100000000,0,1275689000,513627000,713985,666,1120,579,140,0,1787,719
2010,Arizona,2183618000,5000000000,4374297000,4300000000,2416324000,7183618000,8674297000,6413737,340,780,682,670,377,1120,1352
2010,Arkansas,843242000,900000000,2932560000,1500000000,2091082000,1743242000,4432560000,2921606,289,308,1004,513,716,597,1517
2010,California,23450526000,30300000000,24703098000,25900000000,45646436000,53750526000,50603098000,37349363,628,811,661,693,1222,1439,1355
2010,Colorado,2369242000,4500000000,3046925000,3200000000,4089948000,6869242000,6246925000,5049071,469,891,603,634,810,1360,1237
2010,Connecticut,6892989000,2300000000,1957164000,2400000000,5768846000,9192989000,4357164000,3577073,1927,643,547,671,1613,2570,1218
2010,Delaware,406469000,300000000,124317000,200000000,907253000,706469000,324317000,899769,452,333,138,222,1008,785,360
2010,District of Columbia,159126000,1700000000,431987000,700000000,1107139000,1859126000,1131987000,604453,263,2812,715,1158,1832,3076,1873
2010,Florida,7336839000,20800000000,13314890000,14700000000,0,28136839000,28014890000,18843326,389,1104,707,780,0,1493,1487
2010,Georgia,4162568000,6400000000,4971650000,5200000000,7016412000,10562568000,10171650000,9712587,429,659,512,535,722,1088,1047
2010,Hawaii,393152000,1000000000,1766613000,1300000000,1527790000,1393152000,3066613000,1363621,288,733,1296,953,1120,1022,2249
2010,Idaho,554234000,800000000,939365000,500000000,1068754000,1354234000,1439365000,1571450,353,509,598,318,680,862,916
