JF,state,year,services_state_tax,local_tax,services_tax
53,Arkansas,2005,0.0,1.79,0.0
54,Arkansas,2005,6.0,1.79,7.79
55,Arkansas,2005,0.0,1.79,0.0
56,Arkansas,2005,0.0,1.79,0.0
57,Arkansas,2005,0.0,1.79,0.0
58,Arkansas,2005,0.0,1.79,0.0
59,Arkansas,2005,0.0,1.79,0.0
60,Arkansas,2005,0.0,1.79,0.0
61,Arkansas,2005,0.0,1.79,0.0
62,Arkansas,2005,6.0,1.79,7.79
63,Arkansas,2005,0.0,1.79,0.0
64,Arkansas,2005,6.0,1.79,7.79
65,Arkansas,2005,0.0,1.79,0.0
66,Arkansas,2005,6.0,1.79,7.79
67,Arkansas,2005,0.0,1.79,0.0
68,Arkansas,2005,6.0,1.79,7.79
69,Arkansas,2005,6.0,1.79,7.79
70,Arkansas,2005,0.0,1.79,0.0
71,Arkansas,2005,7.0,1.79,8.79
72,Arkansas,2005,0.0,1.79,0.0
73,Arkansas,2005,0.0,1.79,0.0
74,Arkansas,2005,0.0,1.79,0.0
75,Arkansas,2005,0.0,1.79,0.0
76,Arkansas,2005,0.0,1.79,0.0
77,Arkansas,2005,0.0,1.79,0.0
78,Arkansas,2005,0.0,1.79,0.0
79,Arkansas,2005,6.0,1.79,7.79
80,Arkansas,2005,0.0,1.79,0.0
81,Arkansas,2005,0.0,1.79,0.0
82,Arkansas,2005,0.0,1.79,0.0
83,Arkansas,2005,6.0,1.79,7.79
84,Arkansas,2005,0.0,1.79,0.0
85,Arkansas,2005,0.0,1.79,0.0
86,Arkansas,2005,0.0,1.79,0.0
87,Arkansas,2005,6.0,1.79,7.79
88,Arkansas,2005,0.0,1.79,0.0
89,Arkansas,2005,0.0,1.79,0.0
90,Arkansas,2005,0.0,1.79,0.0
91,Arkansas,2005,6.0,1.79,7.79
92,Arkansas,2005,6.0,1.79,7.79
93,Arkansas,2005,6.0,1.79,7.79
94,Arkansas,2005,6.0,1.79,7.79
95,Arkansas,2005,0.0,1.79,0.0
96,Arkansas,2005,0.0,1.79,0.0
97,Arkansas,2005,0.0,1.79,0.0
98,Arkansas,2005,0.0,1.79,0.0
99,Arkansas,2005,6.0,1.79,7.79
100,Arkansas,2005,6.0,1.79,7.79
101,Arkansas,2005,0.0,1.79,0.0
102,Arkansas,2005,6.0,1.79,7.79
103,Arkansas,2005,0.0,1.79,0.0
104,Arkansas,2005,0.0,1.79,0.0
105,Arkansas,2005,6.0,1.79,7.79
106,Arkansas,2005,6.0,1.79,7.79
107,Arkansas,2005,6.0,1.79,7.79
108,Arkansas,2005,0.0,1.79,0.0
109,Arkansas,2005,6.0,1.79,7.79
110,Arkansas,2005,0.0,1.79,0.0
111,Arkansas,2005,0.0,1.79,0.0
112,Arkansas,2005,0.0,1.79,0.0
113,Arkansas,2005,0.0,1.79,0.0
114,Arkansas,2005,0.0,1.79,0.0
115,Arkansas,2005,0.0,1.79,0.0
116,Arkansas,2005,0.0,1.79,0.0
117,Arkansas,2005,0.0,1.79,0.0
118,Arkansas,2005,0.0,1.79,0.0
119,Arkansas,2005,0.0,1.79,0.0
120,Arkansas,2005,6.0,1.79,7.79
121,Arkansas,2005,0.0,1.79,0.0
122,Arkansas,2005,6.0,1.79,7.79
123,Arkansas,2005,6.0,1.79,7.79
124,Arkansas,2005,6.0,1.79,7.79
125,Arkansas,2005,6.0,1.79,7.79
126,Arkansas,2005,6.0,1.79,7.79
127,Arkansas,2005,8.0,1.79,9.79
128,Arkansas,2005,8.0,1.79,9.79
129,Arkansas,2005,6.0,1.79,7.79
130,Arkansas,2005,6.0,1.79,7.79
131,Arkansas,2005,6.0,1.79,7.79
132,Arkansas,2005,6.0,1.79,7.79
133,Arkansas,2005,6.0,1.79,7.79
134,Arkansas,2005,6.0,1.79,7.79
135,Arkansas,2005,0.0,1.79,0.0
136,Arkansas,2005,0.0,1.79,0.0
137,Arkansas,2005,6.0,1.79,7.79
138,Arkansas,2005,6.0,1.79,7.79
139,Arkansas,2005,6.0,1.79,7.79
140,Arkansas,2005,0.0,1.79,0.0
141,Arkansas,2005,7.0,1.79,8.79
142,Arkansas,2005,0.0,1.79,0.0
143,Arkansas,2005,0.0,1.79,0.0
144,Arkansas,2005,0.0,1.79,0.0
145,Arkansas,2005,0.0,1.79,0.0
146,Arkansas,2005,0.0,1.79,0.0
147,Arkansas,2005,0.0,1.79,0.0
148,Arkansas,2005,0.0,1.79,0.0
149,Arkansas,2005,0.0,1.79,0.0
150,Arkansas,2005,0.0,1.79,0.0
151,Arkansas,2005,7.0,1.79,8.79
152,Arkansas,2005,6.0,1.79,7.79
153,Arkansas,2005,7.0,1.79,8.79
154,Arkansas,2005,6.0,1.79,7.79
155,Arkansas,2005,7.0,1.79,8.79
156,Arkansas,2005,16.0,1.79,17.79
157,Arkansas,2005,7.5,1.79,9.29
158,Arkansas,2005,0.0,1.79,0.0
159,Arkansas,2005,7.0,1.79,8.79
160,Arkansas,2005,6.0,1.79,7.79
161,Arkansas,2005,0.0,1.79,0.0
162,Arkansas,2005,8.0,1.79,9.79
163,Arkansas,2005,8.0,1.79,9.79
164,Arkansas,2005,0.0,1.79,0.0
165,Arkansas,2005,6.0,1.79,7.79
166,Arkansas,2005,6.0,1.79,7.79
167,Arkansas,2005,6.0,1.79,7.79
168,Arkansas,2005,6.0,1.79,7.79
169,Arkansas,2005,6.0,1.79,7.79
170,Arkansas,2005,6.0,1.79,7.79
171,Arkansas,2005,6.0,1.79,7.79
172,Arkansas,2005,6.0,1.79,7.79
173,Arkansas,2005,6.0,1.79,7.79
174,Arkansas,2005,6.0,1.79,7.79
175,Arkansas,2005,0.0,1.79,0.0
176,Arkansas,2005,0.0,1.79,0.0
177,Arkansas,2005,6.0,1.79,7.79
178,Arkansas,2005,0.0,1.79,0.0
179,Arkansas,2005,0.0,1.79,0.0
180,Arkansas,2005,0.0,1.79,0.0
181,Arkansas,2005,0.0,1.79,0.0
182,Arkansas,2005,0.0,1.79,0.0
183,Arkansas,2005,6.0,1.79,7.79
0,Arizona,2005,5.599999904632568,2.32,7.919999904632569
1,Arizona,2005,0.0,2.32,0.0
2,Arizona,2005,0.0,2.32,0.0
3,Arizona,2005,0.0,2.32,0.0
4,Arizona,2005,0.0,2.32,0.0
5,Arizona,2005,5.599999904632568,2.32,7.919999904632569
6,Arizona,2005,0.0,2.32,0.0
7,Arizona,2005,0.0,2.32,0.0
8,Arizona,2005,5.599999904632568,2.32,7.919999904632569
9,Arizona,2005,5.599999904632568,2.32,7.919999904632569
10,Arizona,2005,5.599999904632568,2.32,7.919999904632569
11,Arizona,2005,5.599999904632568,2.32,7.919999904632569
12,Arizona,2005,5.599999904632568,2.32,7.919999904632569
13,Arizona,2005,5.599999904632568,2.32,7.919999904632569
14,Arizona,2005,5.599999904632568,2.32,7.919999904632569
15,Arizona,2005,0.0,2.32,0.0
16,Arizona,2005,5.599999904632568,2.32,7.919999904632569
17,Arizona,2005,5.599999904632568,2.32,7.919999904632569
18,Arizona,2005,0.0,2.32,0.0
19,Arizona,2005,0.0,2.32,0.0
20,Arizona,2005,0.0,2.32,0.0
21,Arizona,2005,0.0,2.32,0.0
22,Arizona,2005,0.0,2.32,0.0
23,Arizona,2005,0.0,2.32,0.0
24,Arizona,2005,0.0,2.32,0.0
25,Arizona,2005,0.0,2.32,0.0
26,Arizona,2005,5.599999904632568,2.32,7.919999904632569
27,Arizona,2005,0.0,2.32,0.0
28,Arizona,2005,0.0,2.32,0.0
29,Arizona,2005,5.599999904632568,2.32,7.919999904632569
30,Arizona,2005,0.0,2.32,0.0
31,Arizona,2005,5.599999904632568,2.32,7.919999904632569
32,Arizona,2005,5.599999904632568,2.32,7.919999904632569
33,Arizona,2005,5.599999904632568,2.32,7.919999904632569
34,Arizona,2005,5.599999904632568,2.32,7.919999904632569
35,Arizona,2005,5.599999904632568,2.32,7.919999904632569
36,Arizona,2005,0.0,2.32,0.0
37,Arizona,2005,5.599999904632568,2.32,7.919999904632569
38,Arizona,2005,0.0,2.32,0.0
39,Arizona,2005,5.599999904632568,2.32,7.919999904632569
40,Arizona,2005,5.599999904632568,2.32,7.919999904632569
41,Arizona,2005,5.599999904632568,2.32,7.919999904632569
42,Arizona,2005,5.599999904632568,2.32,7.919999904632569
43,Arizona,2005,5.599999904632568,2.32,7.919999904632569
44,Arizona,2005,0.0,2.32,0.0
45,Arizona,2005,0.0,2.32,0.0
46,Arizona,2005,0.0,2.32,0.0
47,Arizona,2005,0.0,2.32,0.0
48,Arizona,2005,0.0,2.32,0.0
49,Arizona,2005,0.0,2.32,0.0
50,Arizona,2005,0.0,2.32,0.0
51,Arizona,2005,0.0,2.32,0.0
52,Arizona,2005,0.0,2.32,0.0
53,Arizona,2005,0.0,2.32,0.0
